FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,LATNUM,LONGNUM
883,HAI,7,,7,1,2,2,1,0,1,0,,1,1,0,1,0,0,,19,,18.229422,-74.063683
884,HAI,7,,4,1,2,1,1,1,1,0,0.818181818,1,1,0,1,0,1,22,59,12,18.25447,-74.099493
885,HAI,7,,7,4,1,2,2,1,1,0,0.454545455,0,1,0,0,1,0,4,11,,18.179818,-74.002415
886,HAI,7,,7,4,2,2,2,0,0,1,0.636363636,0,0,0,1,0,0,4,4,,18.31784,-74.09334
887,HAI,7,,7,2,1,2,2,1,0,0,0.363636364,0,1,0,1,0,0,,6,,18.27362,-74.166753
888,HAI,7,,5,1,2,2,1,1,0,0,0.272727273,0,1,1,1,0,1,8,40,7,18.307847,-74.218548
889,HAI,7,,7,4,2,2,2,1,1,0,0.545454545,1,1,0,1,1,0,2,7,,18.325395,-74.396173
891,HAI,8,,7,1,2,2,1,1,1,0,,0,0,0,0,0,0,,1,,18.57951,-74.110645
892,HAI,8,,5,4,2,2,2,1,1,0,0.272727273,0,1,0,1,0,0,,5,,18.53671,-74.15743
893,HAI,8,,6,4,2,2,2,0,1,0,0.363636364,0,1,0,1,1,0,,10,,18.62254,-74.111993
894,HAI,8,,7,4,2,2,2,0,1,1,0.363636364,0,1,1,1,1,0,,4,,18.5954,-74.137938
895,HAI,8,,6,4,1,2,2,,1,0,,0,1,1,1,1,0,1,30,,18.637527,-74.112222
896,HAI,8,,7,1,2,2,1,1,1,0,0.454545455,0,1,0,1,0,0,2,5,,18.587203,-74.208918
898,HAI,8,,6,2,1,2,2,,1,1,,1,0,1,1,1,0,,94,,18.640792,-74.123242
899,HAI,8,,7,4,2,2,2,,0,0,,0,0,0,0,0,0,,2,,18.662235,-74.15806
900,HAI,8,,3,1,1,1,1,1,0,0,0.454545455,0,1,1,0,0,1,150,98,93,18.645977,-74.117623
901,HAI,8,,7,1,1,2,1,1,1,0,,0,0,0,0,1,0,,6,,18.64717,-74.115663
902,HAI,8,,6,4,2,2,2,1,1,1,,1,1,0,1,1,0,1,9,,18.647528,-74.277997
903,HAI,8,,6,1,2,2,1,1,1,1,0.636363636,0,1,1,1,0,0,,31,,18.648525,-74.307237
904,HAI,8,,7,1,2,2,1,1,1,0,0.636363636,1,1,0,1,0,0,,4,,18.665187,-74.245027
906,HAI,8,,6,1,2,2,1,0,1,1,0.818181818,1,1,1,1,1,1,7,30,15,18.560808,-74.258167
907,HAI,8,,7,3,2,2,2,1,1,1,0.727272727,1,1,0,1,0,0,,3,,18.559847,-74.256127
909,HAI,8,,6,1,2,2,1,1,1,0,0.363636364,0,1,0,1,0,0,4,12,,18.550677,-74.312545
910,HAI,8,,7,1,2,2,1,0,0,0,0.363636364,0,1,0,0,0,0,,3,,18.51867,-74.358772
912,HAI,8,,7,1,2,2,1,1,1,0,0.545454545,1,1,0,0,0,0,,1,,18.48998,-74.350528
913,HAI,8,,7,3,1,2,2,1,1,0,,1,1,0,0,0,0,,10,,18.484252,-74.451377
914,HAI,8,,2,1,1,1,1,1,1,0,0.818181818,1,1,0,1,0,1,20,40,108,18.490005,-74.454312
915,HAI,8,,7,4,2,2,2,1,1,0,0.636363636,1,1,0,0,0,0,,8,,18.489083,-74.372328
916,HAI,8,,7,1,2,2,1,0,1,0,0.454545455,1,1,0,0,1,0,,9,,18.441342,-74.450103
917,HAI,8,,7,1,2,2,1,0,1,1,0.636363636,1,0,0,1,0,0,,4,,18.595038,-74.417098
918,HAI,8,,7,1,2,2,1,1,0,0,0.454545455,0,1,0,1,0,0,,4,,18.517577,-74.439865
919,HAI,8,,3,4,2,1,2,1,1,1,0.909090909,1,1,1,1,1,1,24,62,37,18.56001,-74.421083
920,HAI,8,,6,1,2,2,1,0,1,0,0.454545455,1,1,0,1,0,0,,4,,18.560463,-74.422945
921,HAI,8,,6,1,2,2,1,0,1,1,0.454545455,0,1,0,0,0,0,,3,,18.543402,-74.365352
922,HAI,8,,5,1,2,2,1,1,1,1,0.909090909,1,1,1,1,1,1,5,24,26,18.406383,-74.449735
923,HAI,8,,7,4,2,2,2,1,1,1,0.727272727,1,1,0,1,0,0,,7,,18.372443,-74.447553
924,HAI,8,,3,1,1,1,1,1,1,1,0.636363636,0,1,1,1,1,1,18,54,8,18.567583,-73.89266
925,HAI,8,,7,4,2,2,2,0,0,0,,0,1,0,1,0,0,,7,,18.508422,-73.98394
926,HAI,8,,7,2,2,2,2,1,1,0,0.454545455,0,1,0,1,0,0,1,9,,18.477323,-73.997647
927,HAI,8,,6,4,2,2,2,0,1,0,0.545454545,1,1,1,0,1,0,3,10,,18.536702,-74.000057
928,HAI,8,,7,4,2,2,2,1,0,0,0.454545455,0,1,0,0,1,0,2,10,,18.559258,-74.067605
929,HAI,8,,6,4,2,2,2,1,1,0,0.545454545,1,1,0,1,0,0,4,3,,18.509253,-74.062428
930,HAI,8,,7,4,1,2,2,0,1,1,,1,1,0,0,1,0,,8,,18.599863,-74.016032
932,HAI,8,,7,1,2,2,1,0,1,0,,0,0,0,1,0,0,,10,,18.478515,-73.958935
933,HAI,8,,5,4,2,2,2,1,0,0,0.272727273,0,1,0,0,1,0,4,20,,18.471907,-73.94279
934,HAI,8,,7,4,2,2,2,0,1,0,,0,1,0,1,0,0,,2,,18.498808,-73.773418
935,HAI,8,,5,1,2,2,1,0,0,0,0.181818182,0,1,1,1,0,1,6,30,13,18.541073,-73.798148
936,HAI,8,,7,1,2,2,1,0,1,0,0.636363636,1,1,1,0,0,0,,1,,0,0
938,HAI,8,,7,3,2,2,2,0,1,0,0.363636364,0,1,0,0,0,0,1,1,,18.478913,-73.783193
939,HAI,8,,7,4,2,2,2,0,1,0,0.545454545,1,1,0,1,0,1,3,2,0,18.607167,-73.796112
940,HAI,8,,7,1,2,2,1,0,1,0,0.454545455,1,1,0,1,0,0,,1,,18.478707,-73.857337
941,HAI,8,,7,1,2,2,1,1,1,0,0.454545455,0,1,0,0,0,0,,7,,18.435127,-73.901092
942,HAI,8,,7,1,2,2,1,0,1,0,0.363636364,0,1,0,0,0,0,,3,,18.45918,-73.87345
943,HAI,9,,7,3,2,2,2,0,1,1,0.454545455,1,1,0,0,0,0,,1,,19.77738,-72.902922
945,HAI,9,,4,2,2,1,2,0,1,0,0.818181818,1,1,1,1,1,1,80,134,156,19.946303,-72.774727
946,HAI,9,,7,1,2,2,1,0,1,0,0.272727273,0,1,0,0,0,0,,1,,19.924497,-72.774142
947,HAI,9,,6,1,2,2,1,1,1,0,0.545454545,1,1,0,1,1,0,,17,,19.936272,-72.842225
948,HAI,9,,7,1,1,2,1,0,1,0,,1,1,0,1,1,0,,6,,19.945525,-72.820145
949,HAI,9,,7,3,2,2,2,1,1,0,0.545454545,1,1,0,1,0,0,4,9,,19.905322,-72.792617
950,HAI,9,,6,4,1,2,2,1,1,0,,0,0,0,1,0,0,,6,,19.938653,-72.833703
951,HAI,9,,6,2,2,2,2,1,1,0,,0,0,1,1,0,0,,4,,19.938095,-72.834387
952,HAI,9,,2,1,1,1,1,0,1,0,0.363636364,0,1,1,1,0,1,76,98,123,19.935607,-72.83188
953,HAI,9,,7,3,1,2,2,1,1,0,0.272727273,0,1,0,1,0,0,,11,,19.946107,-72.823488
954,HAI,9,,7,3,1,2,2,1,1,0,,0,0,0,0,0,0,,1,,19.929105,-72.82364
955,HAI,9,,7,2,1,2,2,1,0,0,0.454545455,0,0,0,0,0,0,1,11,,19.940778,-72.837807
957,HAI,9,,7,1,2,2,1,1,1,0,0.727272727,1,1,0,1,0,0,,11,,19.807477,-72.982473
958,HAI,9,,7,1,2,2,1,0,1,0,,0,1,0,0,0,0,,9,,19.75176,-72.931378
959,HAI,9,,7,1,2,2,1,0,0,0,0.272727273,0,1,0,0,0,0,,11,,19.772165,-72.957392
960,HAI,9,,7,1,1,2,1,1,1,0,0.363636364,0,1,0,1,0,0,,6,,19.885705,-72.922437
961,HAI,9,,7,1,2,2,1,1,1,0,0.454545455,0,1,0,0,0,0,,6,,19.903228,-72.96213
