FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients
10230,BAN,1,,4,1,2,2,1,0,1,0,.454545454545455,0,1,,,0,0,,2,
10231,BAN,1,,6,1,2,2,1,0,1,0,,0,1,,,0,0,,2,
10232,BAN,1,,6,1,2,2,1,0,1,0,,0,0,,,0,0,,2,
10233,BAN,1,,8,1,2,2,1,,0,0,,0,0,,,0,0,,4,
10234,BAN,1,,8,1,2,2,1,0,1,0,,0,0,,,0,0,,2,
10238,BAN,1,,4,1,2,2,1,1,0,0,.181818181818182,0,1,,,0,0,,2,
10239,BAN,1,,4,1,2,2,1,1,0,0,.0909090909090909,0,1,,,0,0,,3,
10240,BAN,1,,6,1,1,2,1,1,0,0,.0909090909090909,0,0,,,0,0,,1,
10241,BAN,1,,8,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,3,
10243,BAN,1,,3,1,1,2,1,1,1,1,.636363636363636,0,0,,,0,0,,6,
10244,BAN,1,,4,1,2,2,1,0,1,0,.545454545454545,0,1,,,0,0,,3,
10245,BAN,1,,4,1,2,2,1,0,1,0,.363636363636364,1,0,,,1,0,,2,
10246,BAN,1,,4,1,2,2,1,0,1,0,,0,0,,,0,0,,2,
10248,BAN,1,,4,1,2,2,1,1,0,0,.363636363636364,0,1,,,0,0,,7,
10249,BAN,1,,9,3,1,2,2,0,1,0,.727272727272727,1,0,,,1,0,,6,
10253,BAN,1,,4,1,2,2,1,1,0,0,.0909090909090909,0,0,,,0,0,,2,
10254,BAN,1,,4,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,3,
10255,BAN,1,,4,1,2,2,1,1,0,0,.181818181818182,0,1,,,0,0,,2,
10257,BAN,1,,6,1,2,2,1,1,0,0,,0,1,,,0,0,,1,
10258,BAN,1,,6,1,2,2,1,1,1,0,,0,0,,,0,0,,2,
10259,BAN,1,,8,1,2,2,1,1,0,0,.181818181818182,0,1,,,0,0,,4,
10260,BAN,1,,9,3,2,2,2,1,1,0,,0,0,,,0,0,,7,
10261,BAN,1,,9,3,2,2,2,1,0,0,,0,0,,,0,0,,2,
10263,BAN,1,,4,1,2,2,1,1,0,0,.181818181818182,0,1,,,0,0,,3,
10264,BAN,1,,4,1,2,2,1,1,1,0,.181818181818182,0,0,,,0,0,,3,
