facil,country,region,zone,region_code,region_name,latnum,longnum,factype,mga,ftype,factype2,ownership,water_source,soapwater,st_precautions,tbservice,hivcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,cumulative_cases,cumulative_deaths
11516,BAN,8,,8,Mymensingh,24.885672,90.734912,10,4,1,2,2,t,t,f,t,,,f,t,11,56,88,377073,5500
11515,BAN,8,,8,Mymensingh,24.905873,90.768273,8,1,2,2,1,f,t,f,t,,,f,f,,3,,377073,5500
11514,BAN,8,,8,Mymensingh,24.86763,90.679212,4,1,2,2,1,t,t,f,f,,,f,f,0,2,,377073,5500
11513,BAN,8,,8,Mymensingh,24.8796,90.731593,3,1,1,2,1,t,t,f,f,,,f,t,0,4,59,377073,5500
11512,BAN,8,,8,Mymensingh,24.871282,90.732118,1,1,1,1,1,t,t,t,t,,,t,t,221,78,2535,377073,5500
11511,BAN,8,,8,Mymensingh,24.862847,91.01435,8,1,2,2,1,t,t,f,t,,,t,f,,3,,377073,5500
11510,BAN,8,,8,Mymensingh,24.86307,90.961883,5,1,2,2,1,t,f,f,f,,,f,f,,1,,377073,5500
11509,BAN,8,,8,Mymensingh,24.71662,90.957185,6,1,2,2,1,t,f,f,f,,,f,f,,1,,377073,5500
11508,BAN,8,,8,Mymensingh,24.713915,90.888738,5,1,2,2,1,t,t,f,f,,,f,f,,2,,377073,5500
11507,BAN,8,,8,Mymensingh,24.602295,90.898017,8,1,2,2,1,t,t,f,t,,,t,f,,3,,377073,5500
11506,BAN,8,,8,Mymensingh,24.667422,90.76638,6,1,2,2,1,f,f,f,t,,,f,f,,2,,377073,5500
11505,BAN,8,,8,Mymensingh,24.7085,90.761395,6,1,2,2,1,t,f,f,f,,,f,f,,2,,377073,5500
11504,BAN,8,,8,Mymensingh,24.97793,90.85931,8,1,2,2,1,,t,f,t,,,f,f,,2,,377073,5500
11503,BAN,8,,8,Mymensingh,25.155025,90.785715,6,1,2,2,1,t,t,f,f,,,f,f,,3,,377073,5500
11502,BAN,8,,8,Mymensingh,25.144178,90.842755,5,1,2,2,1,,f,f,f,,,t,f,,1,,377073,5500
11501,BAN,8,,8,Mymensingh,25.038302,90.892438,4,1,2,2,1,,f,f,f,,,f,f,,1,,377073,5500
11500,BAN,8,,8,Mymensingh,25.074142,90.893552,2,1,2,1,1,f,t,f,t,,,t,t,50,34,376,377073,5500
11499,BAN,8,,8,Mymensingh,25.109292,90.672055,9,3,2,2,2,t,t,f,f,,,f,t,10,15,10,377073,5500
11498,BAN,8,,8,Mymensingh,25.02538,90.609367,8,1,2,2,1,,t,f,f,,,f,f,,4,,377073,5500
11497,BAN,8,,8,Mymensingh,25.155495,90.662043,5,1,2,2,1,,t,f,f,,,f,f,,2,,377073,5500
11496,BAN,8,,8,Mymensingh,25.128215,90.678183,2,1,2,1,1,t,t,f,t,,,f,t,50,40,547,377073,5500
11495,BAN,8,,8,Mymensingh,24.90789,90.840217,8,1,2,2,1,,t,f,f,,,f,f,,3,,377073,5500
11494,BAN,8,,8,Mymensingh,24.959812,90.833753,6,1,2,2,1,,t,f,f,,,f,f,,1,,377073,5500
11493,BAN,8,,8,Mymensingh,24.880675,90.841093,5,1,2,2,1,,t,f,f,,,f,f,,1,,377073,5500
11492,BAN,8,,8,Mymensingh,24.86228,90.88908,4,1,2,2,1,,t,f,f,,,f,f,,1,,377073,5500
11491,BAN,8,,8,Mymensingh,24.764293,90.885885,8,1,2,2,1,f,f,f,t,,,t,f,,3,,377073,5500
11490,BAN,8,,8,Mymensingh,24.817133,90.813853,5,1,2,2,1,t,f,f,f,,,f,f,,2,,377073,5500
11489,BAN,8,,8,Mymensingh,24.74706,90.35132,4,1,2,2,1,t,t,f,f,,,t,f,3,3,,377073,5500
11488,BAN,8,,8,Mymensingh,24.3718,90.588172,4,1,2,2,1,t,f,f,t,,,t,f,,3,,377073,5500
11487,BAN,8,,8,Mymensingh,24.617727,90.456347,8,1,2,2,1,f,f,f,f,,,f,f,,3,,377073,5500
11486,BAN,8,,8,Mymensingh,24.493812,90.344077,6,1,2,2,1,f,f,f,f,,,f,f,,6,,377073,5500
11485,BAN,8,,8,Mymensingh,24.576167,90.394618,2,1,1,1,1,t,t,t,t,,,f,t,27,41,422,377073,5500
11484,BAN,8,,8,Mymensingh,24.907907,90.274468,8,1,2,2,1,t,t,f,t,,,f,f,,2,,377073,5500
11483,BAN,8,,8,Mymensingh,24.847742,90.457848,8,1,2,2,1,t,t,f,f,,,f,f,,3,,377073,5500
11482,BAN,8,,8,Mymensingh,24.957678,90.399925,4,1,2,2,1,t,t,f,t,,,f,f,0,3,,377073,5500
11481,BAN,8,,8,Mymensingh,24.969468,90.478518,4,1,2,2,1,t,t,f,f,,,f,f,0,3,,377073,5500
11480,BAN,8,,8,Mymensingh,24.581412,90.651965,8,1,2,2,1,t,t,f,f,,,f,f,,3,,377073,5500
11479,BAN,8,,8,Mymensingh,24.55907,90.609375,6,1,2,2,1,t,t,f,f,,,f,f,,1,,377073,5500
11478,BAN,8,,8,Mymensingh,24.563235,90.55265,4,1,2,2,1,t,t,f,t,,,f,f,0,3,,377073,5500
11477,BAN,8,,8,Mymensingh,24.56592,90.690228,2,1,1,1,1,t,t,f,t,,,t,t,41,41,1059,377073,5500
11476,BAN,8,,8,Mymensingh,24.774428,90.309358,9,3,2,2,2,t,t,f,f,,,f,f,,8,,377073,5500
11475,BAN,8,,8,Mymensingh,24.790943,90.271312,8,1,2,2,1,f,f,f,t,,,f,f,,2,,377073,5500
11474,BAN,8,,8,Mymensingh,24.634068,90.180615,8,1,2,2,1,f,f,f,t,,,f,f,,3,,377073,5500
11473,BAN,8,,8,Mymensingh,24.749307,90.406318,10,4,1,2,2,,,,,,,,,,,,377073,5500
11472,BAN,8,,8,Mymensingh,24.737188,90.407875,10,4,1,2,2,t,t,f,t,,,t,t,18,58,193,377073,5500
11471,BAN,8,,8,Mymensingh,24.742988,90.408163,10,4,1,2,2,t,t,f,t,,,f,t,26,55,150,377073,5500
11470,BAN,8,,8,Mymensingh,24.74893,90.40719,10,4,2,2,2,t,t,f,t,,,t,t,50,84,6000,377073,5500
11469,BAN,8,,8,Mymensingh,24.748303,90.392475,9,3,1,2,2,t,t,t,f,,,t,f,,7,,377073,5500
11468,BAN,8,,8,Mymensingh,24.691087,90.36016,8,1,2,2,1,t,f,f,f,,,t,f,,3,,377073,5500
11467,BAN,8,,8,Mymensingh,24.695145,90.42381,8,1,2,2,1,f,f,f,f,,,t,f,,3,,377073,5500
11466,BAN,8,,8,Mymensingh,24.713732,90.445623,6,1,2,2,1,,,,,,,,,,,,377073,5500
11465,BAN,8,,8,Mymensingh,24.85146,90.226385,4,1,2,2,1,t,t,f,f,,,f,f,1,1,,377073,5500
11464,BAN,8,,8,Mymensingh,24.757773,90.41263,3,1,1,2,1,t,f,f,f,,,t,t,0,5,73,377073,5500
11463,BAN,8,,8,Mymensingh,24.641927,90.71056,9,3,2,2,2,t,t,f,f,,,f,f,1,8,,377073,5500
11462,BAN,8,,8,Mymensingh,24.611678,90.590045,8,1,2,2,1,f,f,f,f,,,f,f,,2,,377073,5500
11461,BAN,8,,8,Mymensingh,25.05583,90.384807,8,1,2,2,1,t,t,f,f,,,f,f,,3,,377073,5500
11460,BAN,8,,8,Mymensingh,25.177045,90.319797,8,1,2,2,1,t,t,f,f,,,f,f,,3,,377073,5500
11459,BAN,8,,8,Mymensingh,25.007198,90.398972,6,1,2,2,1,t,t,f,t,,,f,f,,2,,377073,5500
11458,BAN,8,,8,Mymensingh,25.012127,90.374612,4,1,2,2,1,t,t,f,f,,,f,f,,0,,377073,5500
11457,BAN,8,,8,Mymensingh,25.1184,90.338455,2,1,1,1,1,t,t,f,t,,,t,t,42,46,1006,377073,5500
11456,BAN,8,,8,Mymensingh,24.6894,90.484312,8,1,2,2,1,f,t,f,t,,,f,f,,3,,377073,5500
11455,BAN,8,,8,Mymensingh,24.718848,90.513485,6,1,2,2,1,f,f,f,t,,,f,f,,3,,377073,5500
11454,BAN,8,,8,Mymensingh,24.80132,90.578607,4,1,2,2,1,t,t,f,f,,,f,f,,2,,377073,5500
11453,BAN,8,,8,Mymensingh,24.770978,90.56916,2,1,2,1,1,t,t,f,t,,,t,t,28,32,525,377073,5500
11452,BAN,8,,8,Mymensingh,24.37687,90.545468,8,1,2,2,1,f,f,f,t,,,t,f,,2,,377073,5500
11451,BAN,8,,8,Mymensingh,24.637453,90.260748,8,1,2,2,1,f,f,f,t,,,f,f,,3,,377073,5500
11450,BAN,8,,8,Mymensingh,24.646213,90.204723,6,1,2,2,1,f,t,f,f,,,f,f,,3,,377073,5500
11449,BAN,8,,8,Mymensingh,24.608047,90.33689,4,1,2,2,1,f,t,f,f,,,f,f,,1,,377073,5500
11448,BAN,8,,8,Mymensingh,25.054017,90.566415,8,1,2,2,1,t,t,f,f,,,f,f,,3,,377073,5500
11447,BAN,8,,8,Mymensingh,25.03719,90.58876,4,1,2,2,1,t,t,f,f,,,f,f,,1,,377073,5500
11446,BAN,8,,8,Mymensingh,25.090293,90.513972,2,1,1,1,1,t,t,f,t,,,t,t,30,50,711,377073,5500
11445,BAN,8,,8,Mymensingh,24.388318,90.371488,8,1,2,2,1,,,,,,,,,,,,377073,5500
11444,BAN,8,,8,Mymensingh,24.406095,90.478227,5,1,2,2,1,t,f,f,t,,,t,f,,3,,377073,5500
11443,BAN,8,,8,Mymensingh,24.684,89.851627,8,1,2,2,1,t,f,f,f,,,f,f,,3,,377073,5500
11442,BAN,8,,8,Mymensingh,24.698298,89.860835,8,1,2,2,1,,t,f,f,,,f,f,,4,,377073,5500
11441,BAN,8,,8,Mymensingh,24.769235,89.839242,4,1,2,2,1,t,f,f,f,,,f,f,2,2,,377073,5500
11440,BAN,8,,8,Mymensingh,24.755877,89.83542,2,1,2,1,1,t,t,f,t,,,t,t,50,36,750,377073,5500
11439,BAN,8,,8,Mymensingh,25.005498,89.81216,8,1,2,2,1,t,t,f,t,,,t,f,,3,,377073,5500
11438,BAN,8,,8,Mymensingh,24.993067,89.754462,6,1,2,2,1,t,f,f,t,,,t,f,0,2,,377073,5500
11437,BAN,8,,8,Mymensingh,24.927952,89.838023,4,1,2,2,1,t,f,f,f,,,t,f,0,3,,377073,5500
11436,BAN,8,,8,Mymensingh,24.923698,89.776137,8,1,2,2,1,t,f,f,t,,,t,f,,1,,377073,5500
11435,BAN,8,,8,Mymensingh,24.933397,89.94218,10,4,1,2,2,t,t,f,f,,,t,t,8,59,447,377073,5500
11434,BAN,8,,8,Mymensingh,24.870178,90.033603,10,4,2,2,2,t,t,f,t,,,f,t,20,45,156,377073,5500
11433,BAN,8,,8,Mymensingh,24.899813,90.10333,8,1,2,2,1,,f,f,t,,,f,f,,1,,377073,5500
11432,BAN,8,,8,Mymensingh,24.847363,90.123413,8,1,2,2,1,t,t,f,t,,,t,f,,3,,377073,5500
11431,BAN,8,,8,Mymensingh,24.831708,90.07191,8,1,2,2,1,f,f,f,t,,,t,f,,2,,377073,5500
11430,BAN,8,,8,Mymensingh,24.870272,90.033447,6,1,2,2,1,f,f,f,t,,,f,f,,3,,377073,5500
11429,BAN,8,,8,Mymensingh,24.766523,89.929258,6,1,2,2,1,t,f,f,f,,,f,f,,8,,377073,5500
11428,BAN,8,,8,Mymensingh,24.891565,89.992792,4,1,2,2,1,f,f,f,f,,,t,f,0,2,,377073,5500
11427,BAN,8,,8,Mymensingh,24.808178,90.138405,4,1,2,2,1,t,f,f,f,,,f,f,,1,,377073,5500
11426,BAN,8,,8,Mymensingh,24.92749,89.945818,3,1,1,2,1,t,f,f,f,,,t,t,5,6,57,377073,5500
11425,BAN,8,,8,Mymensingh,24.941483,89.934187,1,1,1,1,1,t,t,f,t,,,t,t,226,104,4056,377073,5500
11424,BAN,8,,8,Mymensingh,25.084897,89.71861,8,1,2,2,1,f,t,f,t,,,t,f,,3,,377073,5500
11423,BAN,8,,8,Mymensingh,0,0,8,1,2,2,1,t,f,f,t,,,t,f,,3,,377073,5500
11422,BAN,8,,8,Mymensingh,25.180263,89.75818,4,1,2,2,1,t,f,f,t,,,t,f,0,2,,377073,5500
11421,BAN,8,,8,Mymensingh,25.161897,89.758967,2,1,2,1,1,t,f,f,t,,,t,t,46,36,363,377073,5500
11420,BAN,8,,8,Mymensingh,25.25315,89.839157,8,1,2,2,1,t,t,f,f,,,f,f,,3,,377073,5500
11419,BAN,8,,8,Mymensingh,25.277143,89.829052,6,1,2,2,1,,f,f,t,,,f,f,,2,,377073,5500
11418,BAN,8,,8,Mymensingh,25.13229,89.885915,4,1,2,2,1,t,f,f,f,,,f,f,0,2,,377073,5500
11417,BAN,8,,8,Mymensingh,25.177175,89.870677,2,1,1,1,1,t,f,f,t,,,t,t,31,25,452,377073,5500
11416,BAN,7,,7,Sylhet,24.871342,92.42965,8,1,2,2,1,t,f,f,t,,,f,f,,2,,377073,5500
11415,BAN,7,,7,Sylhet,24.893973,92.337388,5,1,2,2,1,t,t,f,f,,,t,f,,5,,377073,5500
11414,BAN,7,,7,Sylhet,24.899345,91.869175,10,4,1,2,2,,,,,,,,,,,,377073,5500
11413,BAN,7,,7,Sylhet,24.90929,91.838177,10,4,1,2,2,,,,,,,,,,,,377073,5500
11412,BAN,7,,7,Sylhet,24.896595,91.90064,10,4,2,2,2,,,,,,,,,,,,377073,5500
11411,BAN,7,,7,Sylhet,24.912027,91.827353,10,4,1,2,2,,,,,,,,,,,,377073,5500
11410,BAN,7,,7,Sylhet,24.881812,91.871003,10,4,1,2,2,,,,,,,,,,,,377073,5500
11409,BAN,7,,7,Sylhet,24.914478,91.815982,10,4,1,2,2,,,,,,,,,,,,377073,5500
11408,BAN,7,,7,Sylhet,24.899278,91.866767,10,4,1,2,2,,,,,,,,,,,,377073,5500
11407,BAN,7,,7,Sylhet,24.897002,91.900207,9,2,1,2,1,t,t,t,f,,,f,f,,8,,377073,5500
11406,BAN,7,,7,Sylhet,24.921193,91.840327,9,2,1,2,1,t,t,t,f,,,f,f,,7,,377073,5500
11405,BAN,7,,7,Sylhet,24.920783,91.720308,8,1,2,2,1,t,f,f,f,,,f,f,,3,,377073,5500
11404,BAN,7,,7,Sylhet,24.78979,91.908452,4,1,2,2,1,f,t,f,f,,,f,f,,2,,377073,5500
11403,BAN,7,,7,Sylhet,24.97598,91.76421,4,1,2,2,1,t,t,f,f,,,f,f,,2,,377073,5500
11402,BAN,7,,7,Sylhet,24.852382,91.82599,3,1,1,2,1,f,f,f,t,,,f,f,998,2,,377073,5500
11401,BAN,7,,7,Sylhet,24.89923,91.866705,1,1,1,1,1,t,t,f,t,,,f,t,100,118,252,377073,5500
11400,BAN,7,,7,Sylhet,25.003105,92.28182,8,1,2,2,1,t,t,f,t,,,f,f,,3,,377073,5500
11399,BAN,7,,7,Sylhet,24.951718,92.15523,5,1,2,2,1,t,t,f,f,,,f,f,,4,,377073,5500
11398,BAN,7,,7,Sylhet,25.063437,92.259762,4,1,2,2,1,t,f,f,f,,,f,f,,1,,377073,5500
11397,BAN,7,,7,Sylhet,25.004957,92.041425,8,1,2,2,1,f,t,f,f,,,f,f,,3,,377073,5500
11396,BAN,7,,7,Sylhet,25.135993,92.126722,2,1,2,1,1,f,t,f,t,,,t,t,26,30,577,377073,5500
11395,BAN,7,,7,Sylhet,25.086085,92.09714,8,1,2,2,1,f,t,f,f,,,f,f,,3,,377073,5500
11394,BAN,7,,7,Sylhet,25.142545,91.947245,5,1,2,2,1,t,t,f,f,,,f,f,0,1,,377073,5500
11393,BAN,7,,7,Sylhet,25.002713,91.96717,4,1,2,2,1,t,t,f,f,,,f,f,,1,,377073,5500
11392,BAN,7,,7,Sylhet,25.08943,91.980475,2,1,1,1,1,f,t,f,t,,,t,t,40,39,572,377073,5500
11391,BAN,7,,7,Sylhet,24.797417,92.069108,8,1,2,2,1,f,t,f,f,,,f,f,,2,,377073,5500
11390,BAN,7,,7,Sylhet,24.80769,92.041028,6,1,2,2,1,f,t,f,t,,,f,f,,1,,377073,5500
11389,BAN,7,,7,Sylhet,24.851817,91.972327,5,1,2,2,1,t,t,f,f,,,f,f,0,2,,377073,5500
11388,BAN,7,,7,Sylhet,24.878525,92.003837,4,1,2,2,1,t,t,f,f,,,f,f,0,3,,377073,5500
11387,BAN,7,,7,Sylhet,24.887043,91.820803,8,1,2,2,1,t,t,f,t,,,f,f,,3,,377073,5500
11386,BAN,7,,7,Sylhet,24.78992,91.908468,6,1,2,2,1,t,t,f,t,,,t,f,,7,,377073,5500
11385,BAN,7,,7,Sylhet,24.829053,91.900995,2,1,2,1,1,f,t,f,t,,,t,f,,28,,377073,5500
11384,BAN,7,,7,Sylhet,25.102037,91.738702,8,1,2,2,1,f,t,f,f,,,f,f,,3,,377073,5500
